id;ActorName;movies_95_04;main_genre;genres
n5651;Beckett, Andreas;14;Drama;Animation:1,Comedy:1,Documentary:2,Drama:4,Mystery:1,Romance:1,Thriller:2,War:2
n16947;Sikri, Surekha;10;Drama;Comedy:1,Drama:6,Family:1,NULL:1,Romance:1
n14632;Robin, Michel (I);15;Drama;Adult:1,Adventure:1,Comedy:2,Documentary:1,Drama:4,NULL:3,Romance:1,Thriller:1,War:1
n4117;Tsang, Eric (I);45;Comedy;Action:3,Animation:1,Comedy:10,Crime:2,Drama:4,Fantasy:2,Horror:1,Mystery:1,NULL:9,Romance:8,Thriller:4
n14429;Prins Henrik;35;Music;Comedy:2,Documentary:20,Music:3,NULL:8,Short:2
n3435;Costanzo, Robert;48;Drama;Action:1,Animation:2,Comedy:9,Crime:1,Drama:14,Family:8,Horror:3,Mystery:1,NULL:1,Romance:5,Sci-Fi:1,Short:1,Thriller:1
n14599;Friedrich, Georg;17;Drama;Comedy:1,Crime:1,Drama:9,NULL:3,Romance:1,Thriller:2
n8043;Memphis, Ricky;16;Comedy;Action:1,Comedy:4,Drama:3,NULL:6,Thriller:2
n12159;Nall, Rashaan;11;Comedy;Adventure:1,Comedy:4,Drama:4,Musical:1,Thriller:1
n2350;Ferrari, Claudia;22;Adult;Adult:20,NULL:2
n11962;Harmony (VI);13;Adult;Adult:1,NULL:12
n9749;Pyper-Ferguson, John;14;Drama;Comedy:2,Drama:4,Music:1,Romance:2,Sci-Fi:2,Short:1,Thriller:2
n17680;Gordeeva, Ekaterina;16;Family;Drama:1,Family:8,Music:7
n16842;Cruttenden, Abigail;11;War;Animation:1,Drama:2,NULL:4,Romance:1,War:3
n13361;Stuart, Jason;14;Drama;Comedy:2,Drama:7,Fantasy:1,NULL:1,Romance:1,Sci-Fi:1,Thriller:1
n14932;Langley, Teresa;14;Drama;Drama:3,Fantasy:1,Horror:1,Mystery:1,NULL:6,Sci-Fi:1,Thriller:1
