,name,degree_weighted_g0,degree_g0,ActorName,movies_95_04,main_genre,Short,Action,Crime,Mystery,Documentary,Horror,Sci-Fi,Comedy,Animation,Family,Fantasy,Thriller,Western,Adult,Romance,Adventure,War,Drama,Musical,Music,max_triangles,betweenness,closeness,pagerank,eigenvector
6534,n13198,82.0,33,"Luv, Jennifer",76,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0.3863749875137349,60.93059310816464,0.07793634350217904,4.727856418548059e-05,8.688520175639432e-11
6535,n5068,97.0,32,"Lisa, Geena",20,Comedy,1,0,0,1,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2,3,0.5047619047619047,25113.99109895969,0.07944144299960403,7.168236262092781e-05,7.1423908210744685e-12
6536,n17366,22.0,8,"Affleck, Casey",13,Comedy,1,0,0,0,0,0,0,5,0,0,0,2,0,0,0,1,0,4,0,0,0.3333333333333333,18.764017415333203,0.06887706781159238,5.004849782952883e-05,3.2249574810732055e-13
6537,n13549,69.0,19,"Jewesbury, Edward",11,Drama,0,1,0,0,0,0,0,1,0,0,1,1,0,0,2,1,1,3,0,0,0.08333333333333333,24.376492512931303,0.07379159602758201,7.683822508833812e-05,6.595594490867046e-15
6538,n16623,10.0,5,Jay (VI),13,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0.7878787878787878,16251.886700951118,0.10115563385995618,2.8964323144189845e-05,1.3152441927846935e-10
6539,n14713,124.0,53,"Hammer, Sledge",132,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0.3031551731103301,1082.517734973727,0.1014873649567978,2.899450624140909e-05,1.7133751654777878e-06
6540,n17343,26.0,12,"Corti, Jesse",15,Family,2,1,0,0,0,1,2,2,0,3,0,2,0,0,1,0,0,1,0,0,0.17857142857142858,1683.5310513917223,0.09237119949194253,2.9467499939884085e-05,2.7538625973245675e-11
6541,n17348,6.0,3,"Weir, Arabella",17,Comedy,0,0,0,0,4,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0.4313725490196078,58.44487351334301,0.08668875191838721,1.5805547918626e-05,1.498613266118607e-12
6542,n4258,109.0,45,"Briski, Mariana",11,Comedy,0,0,0,0,0,0,0,4,0,3,0,1,0,0,1,0,0,2,0,0,0.5,7488.174914362882,0.11380470502321215,5.8793367822145434e-05,2.566941438174846e-07
6543,n14945,2.0,1,Lennox,16,Adult,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0.6083333333333333,0.0,0.1024710710322842,1.0014676056986322e-05,4.438443580495821e-08
6544,n17413,4.0,2,"Bowler, John",11,Drama,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,5,0,0,0.06666666666666667,23.772179147566042,0.07135615116678386,1.5185710786542196e-05,2.6715900415050796e-15
6545,n1778,2116.0,451,"Pesutic, Mauricio",13,Romance,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,0,0,2,0,0,0.6811594202898551,222172.0276693102,0.10964669816061916,0.0003889582072268346,6.202452835303141e-05
6546,n10884,45.0,20,"Peel, John (I)",18,Music,1,0,0,0,8,0,0,1,0,0,0,1,0,0,0,0,0,1,0,3,0.6666666666666666,4513.391997984526,0.11698940298807585,4.742921774655587e-05,4.077237932007517e-06
6547,n12101,14.0,7,"Hardy, Jeff (I)",36,Action,0,20,0,0,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0.856675392670157,2398.010153608457,0.09791975225528478,2.111784586832153e-05,6.571545335935604e-10
6548,n7046,270.0,88,"Ortiz, Lisa",62,Animation,0,1,0,1,0,2,6,2,26,4,7,5,0,0,3,1,0,1,0,0,0.36319881525360975,53096.900621765395,0.11740885241490649,0.00011624566134166361,1.4915087916549025e-07
6549,n6397,10.0,5,"Bisson, Yannick",12,Drama,0,0,0,1,0,0,1,2,0,0,0,1,0,0,2,0,0,5,0,0,0.0,2889.393046068487,0.10513254507014258,2.0303953607991558e-05,4.514388851153124e-09
6550,n2507,78.0,34,"Telek, April",24,Drama,0,1,0,1,0,0,1,4,0,0,0,4,1,0,1,0,0,7,0,0,0.19326923076923078,22069.1654779512,0.09794283020773711,8.917433162250704e-05,3.2047117763038275e-12
6551,n5834,83.0,31,"Rivers, Victor (I)",11,Drama,0,1,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,4,0,0,0.19047619047619047,5154.006806140564,0.09636970985285592,8.641767054849077e-05,8.64217080364536e-12
